sidChar	sidNum	devStage	gType	crabHammer	eggBomb	poisonFang
Sample_20	20	E16	wt	10.22	7.462	7.37
Sample_21	21	E16	wt	10.02	6.89	7.177
Sample_22	22	E16	wt	9.642	6.72	7.35
Sample_23	23	E16	wt	9.652	6.529	7.04
Sample_16	16	E16	NrlKO	8.583	6.47	7.494
Sample_17	17	E16	NrlKO	10.14	7.065	7.005
Sample_6	6	E16	NrlKO	10.34	7.017	6.735
Sample_24	24	P2	wt	8.869	6.587	7.508
Sample_25	25	P2	wt	9.038	6.17	7.449
Sample_26	26	P2	wt	9.611	6.87	7.511
Sample_27	27	P2	wt	8.613	6.8	7.843
Sample_14	14	P2	NrlKO	9.572	6.138	7.25
Sample_3	3	P2	NrlKO	9.414	6.166	7.2
Sample_5	5	P2	NrlKO	8.925	6.269	7.405
Sample_8	8	P2	NrlKO	9.116	6.264	8.016
Sample_28	28	P6	wt	8.214	6.53	7.428
Sample_29	29	P6	wt	10.13	7.574	7.1
Sample_30	30	P6	wt	8.951	6.269	7.274
Sample_31	31	P6	wt	8.693	6.211	7.409
Sample_1	1	P6	NrlKO	8.92	6.286	7.378
Sample_10	10	P6	NrlKO	9.544	6.347	7.252
Sample_4	4	P6	NrlKO	8.992	6.27	7.342
Sample_7	7	P6	NrlKO	8.803	6.188	7.754
Sample_32	32	P10	wt	10.25	8.173	7.005
Sample_33	33	P10	wt	9.004	7.082	8.086
Sample_34	34	P10	wt	8.519	6.757	8.584
Sample_35	35	P10	wt	8.449	6.155	7.201
Sample_13	13	P10	NrlKO	9.838	7.228	7.459
Sample_15	15	P10	NrlKO	9.746	7.226	7.786
Sample_18	18	P10	NrlKO	10.14	7.438	7.363
Sample_19	19	P10	NrlKO	9.771	7.081	7.586
Sample_36	36	4_weeks	wt	9.96	7.866	6.993
Sample_37	37	4_weeks	wt	9.667	6.992	7.324
Sample_38	38	4_weeks	wt	9.767	6.608	7.329
Sample_39	39	4_weeks	wt	10.2	7.003	7.32
Sample_11	11	4_weeks	NrlKO	9.677	7.204	6.981
Sample_12	12	4_weeks	NrlKO	9.129	7.165	7.35
Sample_2	2	4_weeks	NrlKO	9.744	7.107	7.075
Sample_9	9	4_weeks	NrlKO	9.822	6.558	7.043
